Large Load Bus Name,Substation,County,Bus Number,Bus Voltage,Load ID,Unique ID,Area Name/TSP,Capacity Ramp (MW),2026,2027,2028,2029,2030
TIMBERVW_5,TIMBERVW_5,TARRANT,11886,345,N1,11886 N1,ONCOR_ED,,0,300,500,500,500
ENDEAVOR_5,ENDEAVOR_5,Ellis,11904,345,N1,11904 N1,ONCOR_ED,,0,0,350,625,1300
ENDEAVOR_5,ENDEAVOR_5,Ellis,11904,345,N2,11904 N2,ONCOR_ED,,100,200,400,500,500
PLUTO1_8,PLUTO1_8,ELLIS,12303,138,N1,12303 N1,ONCOR_ED,,56.5,64,95.5,95.5,95.5
PLUTO1_8,PLUTO1_8,ELLIS,12303,138,1,12303 1,ONCOR_ED,,72.03,72.03,80.36,80.36,80.36
PLUTO2_8,PLUTO2_8,ELLIS,12304,138,N1,12304 N1,ONCOR_ED,,56.5,64,95.5,95.5,95.5
PLUTO2_8,PLUTO2_8,ELLIS,12304,138,1,12304 1,ONCOR_ED,,72.03,72.03,80.36,80.36,80.36
STERRETTL_8,STERRETTL_8,ELLIS,12317,138,N1,12317 N1,ONCOR_ED,,0,0,23.52,399.84,564.48
IRVRVSD_E8,IRVRVSD_E8,DALLAS,12395,138,N1,12395 N1,ONCOR_ED,,100,150,150,200,200
IRVRVSD_E8,IRVRVSD_E8,DALLAS,12395,138,N2,12395 N2,ONCOR_ED,,100,150,150,200,200
LAKECRST_8,LAKECRST_8,DALLAS,12492,138,N1,12492 N1,ONCOR_ED,,0,5,75,75,220
HAGGRTY_8,HAGGRTY_8,GRAYSON,12677,138,1,12677 1,ONCOR_ED,,98.677,118.217,127.987,127.987,127.987
EXCHANGE1_5,EXCHANGE1_5,TARRANT,15855,345,N1,15855 N1,ONCOR_ED,,0,0,270,370,370
STINGRY_8,STINGRY_8,ANDREWS,18690,138,X1,18690 X1,ONCOR_ED,,100,100,100,100,100
AJSWOPE_5,AJSWOPE_5,POTTER,23906,345,N1,23906 N1,ONCOR_ED,,166,166,166,166,166
WHITERVR_5,WHITERVR_5,FLOYD,23922,345,1,23922 1,ONCOR_ED,,200,200,200,200,200
TNBCJETTA_1,COLLIE YARD TAP TNP,REEVES,38034,138,R1,38034 R1,TNMP_TSP,,150,150,150,150,150
TNBCCASTLE1,COTTONWOOD BITCOIN CASTLE TNP,REEVES,38097,138,X1,38097 X1,TNMP_TSP,,220,220,220,220,220
TNSHAWROAD1,PRELIMINARY PLACE HOLDER ZEBRONKY SUBSTATION,REEVES,38116,138,P1,38116 P1,TNMP_TSP,,170,170,170,170,170
TNBCTRESTL1,TRESTLE BITCOIN TNP,WARD,38146,138,X1,38146 X1,TNMP_TSP,,212,678,678,678,678
TNBCGWRWNK1,BITCOIN GENESIS WARWINK TNP,WARD,38191,138,X1,38191 X1,TNMP_TSP,,252,252,252,252,252
TNBCATOKA_1,ATOKA BITCOIN TNP,PECOS,38296,138,X1,38296 X1,TNMP_TSP,,176,176,176,300,300
TNBCLNCIUM1,LANCIUM BITCOIN TNP,PECOS,38341,138,R1,38341 R1,TNMP_TSP,,300,300,300,300,300
TNBCLNCRK_1,LEON CREEK BITCOIN,PECOS,38356,138,R1,38356 R1,TNMP_TSP,,200,200,200,200,200
TNBCCANYON1,COYANOSA BITCOIN CANYON TNP,REEVES,38382,138,X1,38382 X1,TNMP_TSP,,138,138,138,264,264
TNCENTRY1_1,OXY CENTURY PLANT,PECOS,38431,138,N1,38431 N1,TNMP_TSP,,165,165,165,165,165
TNCENTRY2_1,OXY CENTURY,PECOS,38432,138,N1,38432 N1,TNMP_TSP,,165,165,165,165,165
TNMBLFR___1,MPL TANK FARM CUSTOMER SUBSTATION,GALVESTON,39415,138,N1,39415 N1,TNMP_TSP,,231,231,231,132,231
DEPWTR_POI_5,DEEPWATER,HARRIS,40450,345,HY,40450 HY,CNP_TSP,,,224,224,224,224
BOGGY__POI_8,BOGGY,HARRIS,41460,138,1,41460 1,CNP_TSP,,145.766,145.766,145.766,145.766,145.766
VILLCK_T09_8,VILLAGE CREEK,HARRIS,44272,138,3,44272 3,CNP_TSP,,63.076,65.155,69.437,73.063,76.465
OBRIEN25T1_8,OBRIEN,FORT BEND,44511,138,1,44511 1,CNP_TSP,,93.003,96.653,99.861,97.125,100.029
OBRIEN73T2_8,OBRIEN,FORT BEND,44512,138,2,44512 2,CNP_TSP,,93.007,96.657,99.865,97.128,100.033
FAIRBK_S81_8,FAIRBANKS,HARRIS,45760,138,4,45760 4,CNP_TSP,,87.393,88.552,88.65,88.748,88.836
SPWOOD_T22_8,SPRINGWOODS,MONTGOMERY,46273,138,3,46273 3,CNP_TSP,,79.118,80.737,80.835,80.923,81.012
LONGDRAW_138,LONG DRAW 138,BORDEN,59906,138,X1,59906 X1,WETT,,400,400,400,400,400
HELIOSCR7A,HELIOS CRYPTO (ARGO),DICKENS,60007,345,X1,60007 X1,AEP_TNC,,800,800,800,800,800
HODLRAN27A,HODL RANCH II,HASKELL,60017,345,N1,60017 N1,AEP_TNC,,1000,1000,1000,1000,1000
HODLRAN27A,HODL RANCH II,HASKELL,60017,345,X1,60017 X1,AEP_TNC,,1000,1000,1000,1000,1000
EVERGRID7A,EVER GRID,HARDEMAN,60139,345,I1,60139 I1,AEP_TNC,,0,975,975,975,975
SABEY7A,SABEY,WILBARGER,60150,345,I1,60150 I1,AEP_TNC,,,,200,200,200
OPS7A,OPS,WILBARGER,60189,345,N1,60189 N1,AEP_TNC,,,,900,900,900
OPS7A,OPS,WILBARGER,60189,345,N2,60189 N2,AEP_TNC,,,,300,300,300
OPS7A,OPS,WILBARGER,60189,345,N3,60189 N3,AEP_TNC,,,,1000,1000,1000
TAURUS7A,TAURUS,PECOS,60462,345,N1,60462 N1,AEP_TNC,,,,0,400,400
TESLA7A,TESLA,WILBARGER,60501,345,X1,60501 X1,AEP_TNC,,,100,1000,1000,1000
IRISDATA7A,IRIS DATA,CHILDRESS,60510,345,X2,60510 X2,AEP_TNC,,150,150,150,150,150
BOYKIN7A,BOYKIN,CHILDRESS,60518,345,N1,60518 N1,AEP_TNC,,,1000,1000,1000,1000
KIRCHHOF7A,KIRCHHOFF 1,FISHER,60704,345,I1,60704 I1,AEP_TNC,,600,600,600,600,600
TOMCRUIS7A,TOM CRUISE,NUECES,80037,345,I1,80037 I1,AEP_TCC,,,500,1000,1000,1000
CARAVEL4A,CARVEL,KLEBERG,80099,138,I1,80099 I1,AEP_TCC,,,180,180,180,180
ENEUS7A,ENEUS,CAMERON,80113,345,I1,80113 I1,AEP_TCC,,,,,1000,1000
KRGP4A,KING RANCH GAS PLANT,KLEBERG,80228,138,N1,80228 N1,AEP_TCC,,,,,80,80
CALABAZA4A,CALABAZA,NUECES,80380,138,N2,80380 N2,AEP_TCC,,,,,0,1000
SEABIRD4A,SEA BIRD,SAN PATRICIO,84250,138,N1,84250 N1,AEP_TCC,,,,,240,240
CHALCEDO7A,AMBER,KLEBERG,84555,345,I1,84555 I1,AEP_TCC,,,,530,530,530
SDI7A,STEEL DYNAMICS INCORPORATED (SDI),SAN PATRICIO,88249,345,I1,88249 I1,AEP_TCC,,325.855,325.855,325.855,325.855,325.855
DOWGEN_6_8,DOWGEN_6_8,BRAZORIA,110133,138,1,110133 1,E_CNP_TSP,,850.2,850.2,850.2,850.2,850.2
FORMOSA_10_9,FORMOSA 69 COGEN A,CALHOUN,110463,69,S1,110463 S1,E_AEP_TCC,,231.799,231.799,231.799,231.799,231.799
FORMOSA_12_9,FORMOSA 69 COGEN B,CALHOUN,110465,69,S1,110465 S1,E_AEP_TCC,,231.8,231.8,231.8,231.8,231.8
LEVEE_8,LEVEE,BRAZORIA,111301,138,1,111301 1,E_CNP_TSP,,86.737,86.737,86.737,86.737,86.737
OECCS_2_5,OECCS_2_5,ECTOR,130328,345,V1,130328 V1,E_ONCOR_ED,,207,207,207,207,207
KING__KINGSW,KING MOUNTAIN FPL SW,UPTON,130631,34.5,V1,130631 V1,E_LCRATSC,,79,79,79,79,79
KING__KINGNW,KING MOUNTAIN FPL NW,UPTON,130731,34.5,V1,130731 V1,E_LCRATSC,,79,79,79,79,79
KING__KINGSE,KING MOUNTAIN FPL SE,UPTON,130931,34.5,V1,130931 V1,E_LCRATSC,,79,79,79,79,79
QALSW_1_5,QALSW_1_5,ECTOR,131247,345,N1,131247 N1,E_ONCOR_ED,,100,300,500,500,500
OWF_1_8,OWF_1_8,HOWARD,131552,138,N1,131552 N1,E_ONCOR_ED,,250,250,250,250,250
ELB_ELBCREEK,ELB_ELBCREEK,HOWARD,131651,34.5,V1,131651 V1,E_ONCOR_ED,,122,122,122,122,122
ELB_ELBCREEK,ELB_ELBCREEK,HOWARD,131651,34.5,V2,131651 V2,E_ONCOR_ED,,122,122,122,122,122
JUNO_8,JUNO SOLAR HIGH,BORDEN,134145,138,V1,134145 V1,E_WETT,,250,250,250,250,250
TYGTEII_8,TYGTEII_8,PECOS,134705,138,V1,134705 V1,E_AEP_TNC,,180,180,180,180,180
PION_DJ_8_2,HUTT_SW,MIDLAND,136234,138,X1,136234 X1,E_ONCOR_ED,,150.099,173.099,173.099,173.099,173.099
GOODNITE_5,GOODNITE_5,ARMSTRONG,144365,345,V1,144365 V1,E_ONCOR_ED,,265,265,265,265,265
GOODNIT2_5,GOODNIT2_5,ARMSTRONG,144417,345,V1,144417 V1,E_ONCOR_ED,,,260,260,260,260
LNCRK_G83,LNCRK_G83,SHACKELFORD,150211,34.5,V1,150211 V1,E_ONCOR_ED,,194,194,194,194,194
LNCRK2_1_8,LNCRK2_1_8,SHACKELFORD,150313,138,V1,150313 V1,E_ONCOR_ED,,196,196,196,196,196
YNG_WND_5,YNG_WND_5,YOUNG,152534,345,N1,152534 N1,E_ONCOR_ED,,155,155,155,155,155
HALO_SLR_5,HALO_SLR_5,BELL,153683,345,V1,153683 V1,E_ONCOR_ED,,,230,230,230,230
LMJDSW_W1,LMJDSW_W1,WILLACY,162741,34.5,V1,162741 V1,E_AEP_TCC,,36,83,83,83,83
LMJDSW_W2,LMJDSW_W2,WILLACY,162742,34.5,V2,162742 V2,E_AEP_TCC,,36,83,83,83,83
AURO_SLR_5,AURO_SLR_5,MILAM,171023,345,V1,171023 V1,E_ONCOR_ED,,200,200,200,200,200
MAND_SLR_5,MAND_SLR_5,MILAM,171114,345,V1,171114 V1,E_ONCOR_ED,,,230,230,230,230
HHOLLO_WIND1,HHOLLO_WIND1,TAYLOR,180458,34.5,V1,180458 V1,E_AEP_TNC,,207,207,207,207,207
TTWEC_G1,TTWEC_G1,NOLAN,181051,34.5,V1,181051 V1,E_AEP_TNC,,150,150,150,150,150
BTE_1_8,BTE_1_8,CHAMBERS,110735,138,S2,110735 S2,E_CNP_TSP,,110,110,110,110,110
BTE_1_8,BTE_1_8,CHAMBERS,110735,138,S1,110735 S1,E_CNP_TSP,,110,110,110,110,110
P66SUB12,PHILLIPS # 12 SUBSTATION,BRAZORIA,110511,138,27,110511 27,E_TNMP_TSP,,142.5,142.5,142.5,142.5,142.5
AMOCOOIL_6_8,AMOCO OIL 138kV SUBSTATION,GALVESTON,110279,138,S1,110279 S1,E_TNMP_TSP,,410.639,410.639,410.639,410.639,410.639
L_STMEIN8_1Y,SMI,GUADALUPE,7602,138,1,7602 1,LCRA TSC,,85,85,85,85,85
L_WOLFLA8_1Y,WOLF LANE,BASTROP,7212,138,N2,7212 N2,LCRA TSC,,150,500,500,500,500
IRISDATA7A,IRIS DATA,CHILDRESS,60510,345,X1,60510 X1,AEP_TNC,,600,600,600,600,600
CNPN03_X91B8,CNPN03_X91B8,HARRIS,47770,138,N2,47770 N2,CNP_TSP,,,50,150,200,200
WILLOW__81B8,WILLOW,HARRIS,46660,138,N8,46660 N8,CNP_TSP,,67,78,78,78,78
WESFLD__B138,WESTFIELD,HARRIS,46570,138,6,46570 6,CNP_TSP,,74.687,76.903,77.011,77.109,77.197
WESFLD__B138,WESTFIELD,HARRIS,46570,138,4,46570 4,CNP_TSP,,76.837,79.113,79.22,79.328,79.407
CNPN12_X00B8,CNPN12_X00B8,HARRIS,46400,138,LI,46400 LI,CNP_TSP,,,299,299,299,434
CNPN11_X00B8,CNPN11_X00B8,BRAZORIA,46390,138,HY,46390 HY,CNP_TSP,,,214.592,214.592,214.592,214.592
CNPN10_X00B8,CNPN10_X00B8,GALVESTON,46380,138,HY,46380 HY,CNP_TSP,,,,,537.6,537.6
CNPN09_X00B8,CNPN09_X00B8,GALVESTON,46370,138,HY,46370 HY,CNP_TSP,,,,,,112
CNPN08_X00B8,CNPN08_X00B8,HARRIS,46360,138,HY,46360 HY,CNP_TSP,,,,,,990.08
SPWOOD__22B8,SPRINGWOODS,MONTGOMERY,46270,138,1,46270 1,CNP_TSP,,87.885,89.68,89.788,89.896,89.994
PINHUR_S81_8,PINEHURST,MONTGOMERY,46240,138,3,46240 3,CNP_TSP,,99.412,78.34,78.388,78.447,78.516
CNPN05_X00B8,CNPN05_X00B8,AUSTIN,46230,138,N2,46230 N2,CNP_TSP,,,142,665,665,665
CNPN13_X00B8,CNPN13_X00B8,AUSTIN,46210,138,N2,46210 N2,CNP_TSP,,,24,62,204,285
CNPN07_X00B8,CNPN07_X00B8,AUSTIN,46200,138,N2,46200 N2,CNP_TSP,,,300,300,300,300
KUYDAL75T2_5,KUYKENDAHL,HARRIS,45972,345,2,45972 2,CNP_TSP,,77.059,77.442,77.53,77.609,77.687
KLUGE___81B8,KLUGE,HARRIS,45952,138,2,45952 2,CNP_TSP,,76.301,76.742,76.831,76.909,76.988
HOCKLY__B138,HOCKLEY,HARRIS,45880,138,5,45880 5,CNP_TSP,,87.932,96.049,96.266,96.696,97.133
GERTIE09T3_8,GERTIE,HARRIS,45803,138,3,45803 3,CNP_TSP,,88.22,89.273,90.297,91.331,92.365
GERTIE_T76_8,GERTIE,HARRIS,45801,138,2,45801 2,CNP_TSP,,71.811,72.664,73.496,74.329,75.172
GERTIE_T76_8,GERTIE,HARRIS,45801,138,1,45801 1,CNP_TSP,,71.811,72.663,73.496,74.329,75.171
DRILCO_X67B8,DRILCO,HARRIS,45740,138,N3,45740 N3,CNP_TSP,,,50,250,450,450
CYFAIR_T09_8,CYFAIR,HARRIS,45712,138,2,45712 2,CNP_TSP,,90.363,90.993,91.092,91.19,91.279
BETKA__X66B8,BETKA,HARRIS,45675,138,N4,45675 N4,CNP_TSP,,,98,98,98,98
T_H_W_81T5_8,TH WHARTON,HARRIS,45511,138,5,45511 5,CNP_TSP,,78.526,78.614,78.693,78.782,78.86
STONEL__B138,STONE LAKE,HARRIS,44840,138,1,44840 1,CNP_TSP,,85.607,89.357,91.327,93.609,95.905
OBRIEN73T3_8,OBRIEN,FORT BEND,44513,138,3,44513 3,CNP_TSP,,93.294,96.914,100.133,97.388,100.293
MASON__S25_8,MASON ROAD,HARRIS,44450,138,3,44450 3,CNP_TSP,,77.909,78.38,78.851,79.332,79.812
MASON__S25_8,MASON ROAD,HARRIS,44450,138,2,44450 2,CNP_TSP,,75.578,76.03,76.491,76.952,77.424
MASON__S25_8,MASON ROAD,HARRIS,44450,138,1,44450 1,CNP_TSP,,82.639,83.139,83.639,84.15,84.66
KATY__66T2_8,KATY,WALLER,44422,138,2,44422 2,CNP_TSP,,80.187,79.71,81.171,82.494,83.828
KATY___S09_8,KATY,WALLER,44420,138,3,44420 3,CNP_TSP,,79.081,79.73,81.191,82.516,83.85
